"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","sale.date.d","gross.sqft","land.sqft"
"926",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4547,22,NA,"B3","2934 CRUGER AVENUE"," ",10467,"2","                  -  ","2","1,079","888",1920,1,"B3"," $135,000 ","12/27/2016",135000,2016-12-27,888,1079
"927",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4548,47,NA,"B3","2925 WALLACE AVENUE"," ",10467,"2","                  -  ","2","1,800","1,778",1950,1,"B3"," $415,625 ","5/27/2016",415625,2016-05-27,1778,1800
"928",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4549,37,NA,"B3","2935 BARNES AVENUE"," ",10467,"2","                  -  ","2","3,713","1,992",1930,1,"B3"," $690,000 ","11/4/2016",690000,2016-11-04,1992,3713
"929",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4549,37,NA,"B3","2935 BARNES AVENUE"," ",10467,"2","                  -  ","2","3,713","1,992",1930,1,"B3"," $225,000 ","5/23/2016",225000,2016-05-23,1992,3713
"930",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4556,15,NA,"B1","2920 HONE AVENUE"," ",10469,"2","                  -  ","2","2,742","2,578",1940,1,"B1"," $650,000 ","4/8/2016",650000,2016-04-08,2578,2742
"931",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4557,62,NA,"B1","2911 LACONIA AVENUE"," ",10469,"2","                  -  ","2","2,100","1,782",1960,1,"B1"," $454,000 ","9/15/2016",454000,2016-09-15,1782,2100
"933",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4560,56,NA,"B1","2909 TENBROECK AVENUE"," ",10469,"2","                  -  ","2","2,500","2,074",1975,1,"B1"," $424,000 ","4/4/2016",424000,2016-04-04,2074,2500
"934",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4561,22,NA,"B3","2930 TENBROECK AVENUE"," ",10469,"2","                  -  ","2","2,500","1,620",1935,1,"B3"," $455,000 ","8/29/2016",455000,2016-08-29,1620,2500
"935",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4564,43,NA,"B1","2774 SEXTON PLACE"," ",10469,"2","                  -  ","2","1,765","1,782",1960,1,"B1"," $390,000 ","4/29/2016",390000,2016-04-29,1782,1765
"938",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4566,38,NA,"B1","2952 MORGAN AVENUE"," ",10469,"2","                  -  ","2","2,500","1,758",1940,1,"B1"," $459,000 ","2/18/2016",459000,2016-02-18,1758,2500
"939",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4566,41,NA,"B1","2960 MORGAN AVENUE"," ",10469,"2","                  -  ","2","2,150","1,806",1960,1,"B1"," $445,000 ","8/30/2016",445000,2016-08-30,1806,2150
"940",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4569,4,NA,"B1","731 ADEE AVENUE"," ",10467,"2","                  -  ","2","1,844","2,750",1960,1,"B1"," $10 ","5/5/2016",10,2016-05-05,2750,1844
"943",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4575,31,NA,"B1","938 BURKE AVENUE"," ",10469,"2","                  -  ","2","1,967","2,375",1950,1,"B1"," $415,000 ","9/16/2016",415000,2016-09-16,2375,1967
"944",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4576,3,NA,"B1","985 ADEE AVENUE"," ",10469,"2","                  -  ","2","2,500","2,448",1930,1,"B1"," $610,000 ","3/31/2016",610000,2016-03-31,2448,2500
"945",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4577,2,NA,"B1","1015 ADEE AVENUE"," ",10469,"2","                  -  ","2","2,800","2,400",1950,1,"B1"," $470,000 ","3/31/2016",470000,2016-03-31,2400,2800
"946",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4578,9,NA,"B1","3022 HONE AVENUE"," ",10469,"2","                  -  ","2","1,820","2,040",1950,1,"B1"," $482,948 ","11/3/2016",482948,2016-11-03,2040,1820
"947",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4578,22,NA,"B1","1052 BURKE AVENUE"," ",10469,"2","                  -  ","2","2,500","2,800",1950,1,"B1"," $520,000 ","2/19/2016",520000,2016-02-19,2800,2500
"949",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4586,49,NA,"B1","2931 WILSON AVE"," ",10469,"2","                  -  ","2","2,775","1,960",1958,1,"B1"," $562,000 ","2/11/2016",562000,2016-02-11,1960,2775
"951",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4588,3,NA,"B1","3005 WILSON AVENUE"," ",10469,"2","                  -  ","2","2,200","1,747",1960,1,"B1"," $535,000 ","3/8/2016",535000,2016-03-08,1747,2200
"952",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4589,12,NA,"B3","3010 WILSON AVENUE"," ",10469,"2","                  -  ","2","2,456","2,698",1935,1,"B3"," $300,000 ","8/11/2016",3e+05,2016-08-11,2698,2456
"953",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4593,13,NA,"B2","3232 BRONX BOULEVARD"," ",10467,"2","                  -  ","2","2,608","2,088",1920,1,"B2"," $275,000 ","4/1/2016",275000,2016-04-01,2088,2608
"954",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4593,49,NA,"B3","3207 BARKER AVENUE"," ",10467,"2","                  -  ","2","5,896","1,778",1920,1,"B3"," $500,000 ","12/2/2016",5e+05,2016-12-02,1778,5896
"955",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4594,131,NA,"B1","3249 OLINVILLE AVENUE"," ",10467,"2","                  -  ","2","1,710","1,800",1960,1,"B1"," $435,000 ","2/29/2016",435000,2016-02-29,1800,1710
"956",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4597,14,NA,"B1","3216 CRUGER AVENUE"," ",10467,"2","                  -  ","2","2,500","2,892",1901,1,"B1"," $515,000 ","7/20/2016",515000,2016-07-20,2892,2500
"957",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4599,11,NA,"B3","757 SOUTH OAK DRIVE"," ",10467,"2","                  -  ","2","4,750","2,628",1925,1,"B3"," $10 ","4/13/2016",10,2016-04-13,2628,4750
"959",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4604,46,NA,"B1","3234 N CHESTNUT DRIVE"," ",10467,"2","                  -  ","2","4,000","1,606",2005,1,"B1"," $609,500 ","11/10/2016",609500,2016-11-10,1606,4000
"960",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4607,4,NA,"B3","833 CHESTNUT STREET"," ",10467,"2","                  -  ","2","4,023","1,772",1920,1,"B3"," $340,000 ","12/22/2016",340000,2016-12-22,1772,4023
"961",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4607,14,NA,"B2","805 CHESTNUT STREET"," ",10467,"2","                  -  ","2","2,702","3,993",1910,1,"B2"," $180,000 ","2/24/2016",180000,2016-02-24,3993,2702
"962",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4608,2,NA,"B1","915 BURKE AVENUE"," ",10469,"2","                  -  ","2","2,330","2,968",1965,1,"B1"," $544,000 ","6/9/2016",544000,2016-06-09,2968,2330
"963",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4609,101,NA,"B1","3210 RADCLIFF AVE"," ",10469,"2","                  -  ","2","2,500","3,060",2006,1,"B1"," $640,000 ","5/13/2016",640000,2016-05-13,3060,2500
"965",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4611,27,NA,"B1","3238 PAULDING AVENUE"," ",10469,"2","                  -  ","2","2,500","2,074",1960,1,"B1"," $540,000 ","9/29/2016",540000,2016-09-29,2074,2500
"966",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4612,1,NA,"B9","1069 BURKE AVE"," ",10469,"2","                  -  ","2","1,992","1,862",1955,1,"B9"," $520,000 ","9/7/2016",520000,2016-09-07,1862,1992
"967",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4612,7,NA,"B9","1057 BURKE AVENUE"," ",10469,"2","                  -  ","2","1,992","1,862",1955,1,"B9"," $388,000 ","10/4/2016",388000,2016-10-04,1862,1992
"973",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4631,3,NA,"B1","769 BARTHOLDI STREET"," ",10467,"2","                  -  ","2","2,375","2,620",1920,1,"B1"," $530,000 ","12/21/2016",530000,2016-12-21,2620,2375
"974",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4631,11,NA,"B1","753 BARTHOLDI STREET"," ",10467,"2","                  -  ","2","2,375","2,068",1915,1,"B1"," $330,000 ","12/7/2016",330000,2016-12-07,2068,2375
"975",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4634,55,NA,"B1","3338 BRONXWOOD AVENUE"," ",10469,"2","                  -  ","2","2,250","2,826",1940,1,"B1"," $615,000 ","11/17/2016",615000,2016-11-17,2826,2250
"976",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4635,14,NA,"B1","3400 BRONXWOOD AVENUE"," ",10469,"2","                  -  ","2","4,385","1,560",1945,1,"B1"," $214,000 ","6/21/2016",214000,2016-06-21,1560,4385
"978",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4636,3,NA,"B3","991 DUNCAN STREET"," ",10469,"2","                  -  ","2","2,500","2,100",1935,1,"B3"," $223,080 ","4/11/2016",223080,2016-04-11,2100,2500
"979",2,"BRONXDALE","02 TWO FAMILY DWELLINGS                    ","1",4693,44,NA,"B9","1008 EAST 211TH STREET"," ",10469,"2","                  -  ","2","1,860","1,966",1945,1,"B9"," $510,000 ","5/4/2016",510000,2016-05-04,1966,1860
"982",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4509,56,NA,"C0","2723 CRUGER"," ",10467,"3","                  -  ","3","2,500","2,772",1925,1,"C0"," $459,123 ","7/22/2016",459123,2016-07-22,2772,2500
"984",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4509,56,NA,"C0","2723 CRUGER AVENUE"," ",10467,"3","                  -  ","3","2,500","2,772",1925,1,"C0"," $778,223 ","2/1/2016",778223,2016-02-01,2772,2500
"985",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4512,11,NA,"C0","2726 WALLACE AVE"," ",10467,"3","                  -  ","3","2,500","3,290",1925,1,"C0"," $80,000 ","6/17/2016",80000,2016-06-17,3290,2500
"986",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4512,13,NA,"C0","2730 WALLACE AVENUE"," ",10467,"3","                  -  ","3","5,000","3,397",1925,1,"C0"," $660,000 ","1/24/2017",660000,2017-01-24,3397,5000
"990",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4527,41,NA,"C0","1290 ARNOW AVENUE"," ",10469,"3","                  -  ","3","2,500","2,168",1925,1,"C0"," $465,000 ","9/28/2016",465000,2016-09-28,2168,2500
"993",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4543,43,NA,"C0","3013 BARKER AVENUE"," ",10467,"3","                  -  ","3","4,254","3,240",1940,1,"C0"," $100,000 ","12/5/2016",1e+05,2016-12-05,3240,4254
"994",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4544,14,NA,"C0","3018 BARKER AVENUE"," ",10467,"3","                  -  ","3","1,780","3,400",1987,1,"C0"," $565,000 ","6/3/2016",565000,2016-06-03,3400,1780
"995",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4547,36,NA,"C0","3050 WILLIAMSBRIDGE ROAD"," ",10467,"3","                  -  ","3","3,250","2,128",1920,1,"C0"," $10 ","8/15/2016",10,2016-08-15,2128,3250
"996",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4563,133,NA,"C0","2948 THROOP AVENUE"," ",10469,"3","                  -  ","3","2,653","4,444",2005,1,"C0"," $370,110 ","8/15/2016",370110,2016-08-15,4444,2653
"997",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4565,53,NA,"C0","1361 ARNOW AVENUE"," ",10469,"3","                  -  ","3","2,500","1,796",1940,1,"C0"," $424,000 ","10/13/2016",424000,2016-10-13,1796,2500
"998",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4570,2,NA,"C0","767 ADEE AVENUE"," ",10467,"3","                  -  ","3","3,421","2,344",1930,1,"C0"," $242,100 ","9/7/2016",242100,2016-09-07,2344,3421
"999",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4587,31,NA,"C0","1310 ADEE AVENUE"," ",10469,"3","                  -  ","3","2,500","3,717",1940,1,"C0"," $635,000 ","3/4/2016",635000,2016-03-04,3717,2500
"1003",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4595,13,NA,"C0","3236 OLINVILLE AVENUE"," ",10467,"3","                  -  ","3","2,569","2,950",1970,1,"C0"," $522,500 ","8/19/2016",522500,2016-08-19,2950,2569
"1004",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4595,21,NA,"C0","3254 OLINVILLE AVE"," ",10467,"3","                  -  ","3","2,000","3,300",2006,1,"C0"," $525,550 ","6/14/2016",525550,2016-06-14,3300,2000
"1005",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4595,22,NA,"C0","3256 OLINVILLE AVENUE"," ",10467,"3","                  -  ","3","2,000","3,300",2006,1,"C0"," $503,958 ","6/28/2016",503958,2016-06-28,3300,2000
"1006",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4596,53,NA,"C0","3211 CRUGER AVENUE"," ",10467,"3","                  -  ","3","2,500","3,000",1901,1,"C0"," $549,000 ","3/24/2016",549000,2016-03-24,3000,2500
"1007",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4608,12,NA,"C0","3214 BRONXWOOD AVENUE"," ",10469,"3","                  -  ","3","3,000","3,000",1910,1,"C0"," $650,000 ","8/2/2016",650000,2016-08-02,3000,3000
"1010",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4610,117,NA,"C0","3218 COLDEN AVENUE"," ",10469,"3","                  -  ","3","2,130","3,080",1915,1,"C0"," $320,000 ","6/15/2016",320000,2016-06-15,3080,2130
"1012",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4616,28,NA,"C0","3238 HERING AVENUE"," ",10469,"3","                  -  ","3","5,000","2,385",1925,1,"C0"," $470,000 ","7/15/2016",470000,2016-07-15,2385,5000
"1014",2,"BRONXDALE","03 THREE FAMILY DWELLINGS                  ","1",4631,8,NA,"C0","759 BARTHOLDI STREET"," ",10467,"3","                  -  ","3","2,375","3,440",1910,1,"C0"," $650,000 ","1/6/2017",650000,2017-01-06,3440,2375
"1090",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3507,41,NA,"A5","453 OLMSTEAD AVENUE"," ",10473,"1","                  -  ","1","1,980","1,594",1965,1,"A5"," $373,000 ","9/26/2016",373000,2016-09-26,1594,1980
"1091",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3507,154,NA,"A5","419 OLMSTEAD AVENUE"," ",10473,"1","                  -  ","1","1,943","1,594",1965,1,"A5"," $327,500 ","9/6/2016",327500,2016-09-06,1594,1943
"1092",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3508,12,NA,"A5","418 OLMSTEAD AVENUE"," ",10473,"1","                  -  ","1","1,903","1,594",1960,1,"A5"," $375,000 ","3/29/2016",375000,2016-03-29,1594,1903
"1093",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3509,50,NA,"A5","423 HOWE AVENUE"," ",10473,"1","                  -  ","1","1,949","1,594",1965,1,"A5"," $283,000 ","10/3/2016",283000,2016-10-03,1594,1949
"1094",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3509,59,NA,"A2","407 HOWE AVENUE"," ",10473,"1","                  -  ","1","3,564","945",1958,1,"A2"," $375,000 ","6/30/2016",375000,2016-06-30,945,3564
"1095",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3510,5,NA,"A5","400 HOWE AVENUE"," ",10473,"1","                  -  ","1","3,358","1,980",1965,1,"A5"," $466,233 ","2/29/2016",466233,2016-02-29,1980,3358
"1096",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3511,43,NA,"A5","447 TURNEUR AVENUE"," ",10473,"1","                  -  ","1","1,949","1,594",1960,1,"A5"," $240,000 ","8/25/2016",240000,2016-08-25,1594,1949
"1097",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3511,43,NA,"A5","447 TURNEUR"," ",10473,"1","                  -  ","1","1,949","1,594",1960,1,"A5"," $419,000 ","12/22/2016",419000,2016-12-22,1594,1949
"1098",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3512,42,NA,"A2","439 EFFINGHAM AVE"," ",10473,"1","                  -  ","1","2,706","576",1930,1,"A2"," $114,000 ","7/6/2016",114000,2016-07-06,576,2706
"1099",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3512,76,NA,"A5","2270 LACOMBE AVE"," ",10473,"1","                  -  ","1","2,758","1,538",1960,1,"A5"," $355,000 ","11/22/2016",355000,2016-11-22,1538,2758
"1100",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3528,7,NA,"A1","500 WHITE PLAINS ROAD"," ",10473,"1","                  -  ","1","3,850","1,264",1930,1,"A1"," $220,000 ","12/9/2016",220000,2016-12-09,1264,3850
"1102",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3575,24,NA,"A5","2217 CINCINNATUS AVENUE"," ",10473,"1","                  -  ","1","1,800","1,842",1960,1,"A5"," $275,000 ","8/19/2016",275000,2016-08-19,1842,1800
"1103",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3608,63,NA,"A2","2057 HOMER AVENUE"," ",10473,"1","                  -  ","1","2,250","1,540",1960,1,"A2"," $400,000 ","7/27/2016",4e+05,2016-07-27,1540,2250
"1104",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3608,64,NA,"A2","2055 HOMER AVENUE"," ",10473,"1","                  -  ","1","2,250","1,540",1960,1,"A2"," $365,000 ","10/26/2016",365000,2016-10-26,1540,2250
"1105",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3610,49,NA,"A1","2140 HOMER AVENUE"," ",10473,"1","                  -  ","1","3,742","1,344",1940,1,"A1"," $459,000 ","11/16/2016",459000,2016-11-16,1344,3742
"1106",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3613,15,NA,"A1","2237 SEWARD AVENUE"," ",10473,"1","                  -  ","1","2,500","1,674",1915,1,"A1"," $415,000 ","6/28/2016",415000,2016-06-28,1674,2500
"1107",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3678,44,NA,"A1","2063 LAFAYETTE AVENUE"," ",10473,"1","                  -  ","1","4,000","1,584",1955,1,"A1"," $376,000 ","3/18/2016",376000,2016-03-18,1584,4000
"1108",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3679,41,NA,"A1","843 OLMSTEAD AVENUE"," ",10473,"1","                  -  ","1","3,996","1,444",1935,1,"A1"," $400,000 ","1/17/2017",4e+05,2017-01-17,1444,3996
"1110",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3680,15,NA,"A5","2016 STORY AVENUE"," ",10473,"1","                  -  ","1","3,100","1,860",1987,1,"A5"," $435,000 ","9/23/2016",435000,2016-09-23,1860,3100
"1111",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3686,53,NA,"A1","2149 HERMANY AVENUE"," ",10473,"1","                  -  ","1","2,575","1,200",1935,1,"A1"," $430,000 ","6/28/2016",430000,2016-06-28,1200,2575
"1112",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3690,14,NA,"A1","2216 TURNBULL AVE"," ",10473,"1","                  -  ","1","3,000","1,356",1930,1,"A1"," $200,000 ","1/5/2017",2e+05,2017-01-05,1356,3000
"1113",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3690,22,NA,"A1","2236 TURNBULL AVENUE"," ",10473,"1","                  -  ","1","3,000","1,550",1930,1,"A1"," $385,000 ","1/31/2017",385000,2017-01-31,1550,3000
"1114",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3691,74,NA,"A1","2209 TURNBULL AVENUE"," ",10473,"1","                  -  ","1","3,107","1,900",1955,1,"A1"," $390,000 ","10/28/2016",390000,2016-10-28,1900,3107
"1115",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3692,32,NA,"A1","2256 STORY AVENUE"," ",10473,"1","                  -  ","1","2,927","2,400",1925,1,"A1"," $475,000 ","10/24/2016",475000,2016-10-24,2400,2927
"1116",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3694,13,NA,"A1","2218 BRUCKNER BOULEVARD"," ",10473,"1","                  -  ","1","4,120","1,990",1925,1,"A1"," $465,000 ","8/25/2016",465000,2016-08-25,1990,4120
"1117",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3694,69,NA,"A1","2223 QUIMBY AVENUE"," ",10473,"1","                  -  ","1","5,150","1,960",1925,1,"A1"," $400,000 ","8/16/2016",4e+05,2016-08-16,1960,5150
"1118",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3698,68,NA,"A1","2335 HERMANY AVENUE"," ",10473,"1","                  -  ","1","3,425","1,620",1910,1,"A1"," $261,250 ","3/28/2016",261250,2016-03-28,1620,3425
"1119",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3791,37,NA,"A5","1986A POWELL AVENUE"," ",10472,"1","                  -  ","1","2,627","1,714",1955,1,"A5"," $430,950 ","8/18/2016",430950,2016-08-18,1714,2627
"1120",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3792,72,NA,"A1","1951 POWELL AVENUE"," ",10472,"1","                  -  ","1","2,060","1,344",1940,1,"A1"," $402,900 ","3/25/2016",402900,2016-03-25,1344,2060
"1122",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3800,16,NA,"A5","2018 HAVILAND AVENUE"," ",10472,"1","                  -  ","1","1,751","1,088",1950,1,"A5"," $365,000 ","11/30/2016",365000,2016-11-30,1088,1751
"1123",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3800,177,NA,"A5","2025 WATSON AVENUE"," ",10472,"1","                  -  ","1","1,854","1,714",1955,1,"A5"," $355,000 ","3/22/2016",355000,2016-03-22,1714,1854
"1124",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3807,4,NA,"A5","1038 OLMSTEAD AVE"," ",10472,"1","                  -  ","1","1,638","1,152",1950,1,"A5"," $365,000 ","4/26/2016",365000,2016-04-26,1152,1638
"1125",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3808,4,NA,"A1","1068 OLMSTEAD AVENUE"," ",10472,"1","                  -  ","1","4,292","1,180",1901,1,"A1"," $415,000 ","5/23/2016",415000,2016-05-23,1180,4292
"1126",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3809,3,NA,"A5","1104 OLMSTEAD AVENUE"," ",10472,"1","                  -  ","1","1,820","1,645",1935,1,"A5"," $155,000 ","5/9/2016",155000,2016-05-09,1645,1820
"1127",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3810,22,NA,"A5","2114 CROSS BRONX EXPRESSW"," ",10472,"1","                  -  ","1","1,602","1,633",1950,1,"A5"," $355,000 ","9/7/2016",355000,2016-09-07,1633,1602
"1129",2,"CASTLE HILL/UNIONPORT","01 ONE FAMILY DWELLINGS                    ","1",3816,76,NA,"A1","2217 CHATTERTON AVENUE"," ",10472,"1","                  -  ","1","2,575","1,712",1920,1,"A1"," $390,000 ","1/12/2017",390000,2017-01-12,1712,2575
"1130",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3483,20,NA,"B2","303 CASTLE HILL AVENUE"," ",10473,"2","                  -  ","2","2,522","1,902",2000,1,"B2"," $471,594 ","10/20/2016",471594,2016-10-20,1902,2522
"1131",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3483,105,NA,"B2","210 HOWE AVENUE"," ",10473,"2","                  -  ","2","3,987","1,902",2001,1,"B2"," $510,000 ","10/28/2016",510000,2016-10-28,1902,3987
"1132",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3483,105,NA,"B2","210 HOWE AVENUE"," ",10473,"2","                  -  ","2","3,987","1,902",2001,1,"B2"," $336,000 ","8/26/2016",336000,2016-08-26,1902,3987
"1133",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3483,109,NA,"B2","218 HOWE AVENUE"," ",10473,"2","                  -  ","2","3,987","1,902",2001,1,"B2"," $347,823 ","8/29/2016",347823,2016-08-29,1902,3987
"1148",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3508,46,NA,"B1","441 TORRY AVENUE"," ",10473,"2","                  -  ","2","2,237","2,314",1965,1,"B1"," $570,000 ","11/29/2016",570000,2016-11-29,2314,2237
"1149",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3508,46,NA,"B1","441 TORRY AVENUE"," ",10473,"2","                  -  ","2","2,237","2,314",1965,1,"B1"," $220,000 ","3/30/2016",220000,2016-03-30,2314,2237
"1150",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3509,44,NA,"B3","437 HOWE AVENUE"," ",10473,"2","                  -  ","2","2,727","1,630",1965,1,"B3"," $749,112 ","8/23/2016",749112,2016-08-23,1630,2727
"1151",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3510,41,NA,"B1","453 CASTLE HILL AVENUE"," ",10473,"2","                  -  ","2","2,167","2,650",1970,1,"B1"," $515,000 ","5/27/2016",515000,2016-05-27,2650,2167
"1152",2,"CASTLE HILL/UNIONPORT","02 TWO FAMILY DWELLINGS                    ","1",3511,20,NA,"B1","430 CASTLE HILL AVENUE"," ",10473,"2","                  -  ","2","2,968","2,073",1965,1,"B1"," $440,000 ","12/23/2016",440000,2016-12-23,2073,2968
